id	name	calories	protein	fat	carbs	contains_gluten	contains_lactose
2016ceca-2ae7-440b-9bbd-af476163853c	Table						
6f7717dc-bb10-4562-8336-41b927a605bf	Амарант	371	14	7	59	false	false
127c8ee6-3a9e-4f4c-9db4-9b2de5ecbdd8	Арахис	552	26	45	10	false	false
d7b85667-b466-4f35-9999-196fc3a69e9b	Арахис жареный	626	26	52	10	false	false
0b967287-aa14-4931-a73c-5c130d7e69ab	Балон для сифона						
67c16dac-a357-4491-a8b6-17bfc65f6291	"Балон для сифона	VND"						
0c546531-14cc-4175-bd3b-210763173b97	Ворчесте	78	1	0	19	true	false
f449f7b9-0e8a-48cb-8945-e04745f03dd0	Грецкий орех	654	15	65	7	false	false
c8be54c5-6192-4c95-b675-d72b18b6199a	Демигляс кнор	400	8	17	52	true	
b77c8d37-bbc0-495a-927f-0dc28a47d8d3	Джандуйя	600	7	36	55	false	true
2b62ecea-f6da-48ce-afc1-00c5e32c0d53	"Есенция миндаль	VND"	0	0	0	0	false	false
1c50f36c-877d-44d6-b18b-a28f6456c5c0	Земляника лесная	34	0.8	0.4	8	false	false
12d94150-2651-49c5-bb81-4325be7257d5	Какао	374	24	17	31	false	false
ea5aa269-68e4-4ad7-b916-d930fbe90a04	"Какао	VND"	374	24	17	31	false	false
04518dca-7eb4-4f3d-aae4-13b3781206e1	Какао 2	374	24	17	31	false	false
5e80cae4-58f7-48fc-a68e-ee149c0f26c1	"Какао 2	VND"	374	24	17	31	false	false
b533a188-5182-4e1c-a3df-2c7113fd0bcb	Какао-крупка	607	14	54	30	false	false
b0e20e77-2774-43fe-9782-a7a6f965e6fe	Кешью	553	18	44	25	false	false
93fe437f-d983-4af1-99ed-a6a44c631e04	Кешью жареный	572	18	48	25	false	false
65f863b8-87f6-45aa-8af3-e512bb6dfd89	Клубника						
9be7a641-1e9c-4e27-93f9-50fa17e09d50	Клубника мини						
54a409d7-5459-4fc8-8890-780c93116d15	Клубника свежая	41	0.8	0.4	8	false	false
631fce94-8809-4ce6-9aec-16467946e802	"Клубника свежая	VND"	41	0.8	0.4	8	false	false
22e5487b-5014-4d17-a8f2-40905f2cbd74	Клубника сублемированная	350	2.5	1.5	80	false	false
837e760c-1928-4728-b0a0-5791f7c7fbaa	"Клубника сублемированная	VND"	350	2.5	1.5	80	false	false
7fda4f5a-f240-4018-acf1-3fc7c5cd1bc5	Купуста Б/К	25	1.8	0.1	4.7	false	false
9e10df27-e6d0-454b-b17b-011cd44850f7	Ликер Амаретто	280	0	0	35	false	false
bf5a6e6e-d8d7-4185-ba5c-c8665f1f55a0	Майонез	620	3	67	3	false	false
3a8eb879-182f-4e4b-a845-d72cc911132e	"Майонез	VND"	620	3	67	3	false	false
14a6b273-7def-46cd-977d-ebe2524a0d50	"Майонез оливье	VND"	620	3	67	3	false	false
7cc41a89-9756-42b8-8ede-61b07d297c25	Маскарпоне	412	5	41	5	false	true
5231edf3-a921-464d-98a6-d34ac816df13	Мед акациевый	304	0.3	0	82	false	false
6c476400-180e-4f1e-86a1-94782b0d73d3	"Мокровь	VND"	41	1	0.1	9	false	false
6b512e3b-662b-4c83-93c3-bd0776365fc1	Мускатный орех (целый)						
31e419bc-6a29-49b0-921a-7e0917484b2f	Нутелла	539	6	31	57	false	true
58bfe115-5edd-4e73-b0fa-b5bbb2b935f9	"Нутелла	VND"	539	6	31	57	false	true
f0ccaa61-79b3-4051-90f4-f79f9df3f09c	Овсяные хлопья	380	17	7	66	true	false
4d1f0135-5003-4d5c-a5fa-d114fb277510	Паста арахисовая	588	25	50	20	false	false
fd24fe5c-01c6-4b23-ac8e-d943d3fd251b	Паста миндальная	575	21	49	22	false	false
c1c9d118-e1e7-40aa-a85e-de8e37969c83	Перепел (тушка)	230	18	17	0.4	false	false
8c4687ee-1418-465f-8909-20713b640a29	Перец белый горошек						
fd5020d4-00f0-4bea-8d47-756542c2e04f	Перец черный молотый						
697cc9a5-9f9d-49cc-9a0d-d518a1acb8f0	"Перец черный молотый	VND"						
23478bcb-4b64-4dfe-b0c3-a19e0b692f43	Печенье	450	7	18	65	true	true
df3b8136-9b18-4238-b0ca-863248c1c125	"Печенье	VND"	450	7	18	65	true	true
8f9644e5-4316-4560-b8e0-f3161d449f2c	Подложка						
92b2db47-1597-44f0-a35e-59c4382b6fd1	"Подложка	VND"						
04bbaea0-e619-453c-9684-f8ccfb865d00	Порошок чесночный	330	16	0.7	70	false	false
ce55f1ca-49d3-428b-a7f9-4267483df4b6	Сахар демерара	398	0	0	99	false	false
0f81604a-ff5d-48c4-b219-d90df1706059	Сахар коричневый (тростниковый)	398	0	0	99	false	false
c08a6e83-941f-4529-bb21-2365bfd49ce7	Сок томатный	17	1	0	4	false	false
ed44088f-8027-4b41-96e3-328b53771bbd	Сыр Маскарпоне	412	5	41	5	false	true
b9c4f123-93c4-4d79-908e-32c70afb40d9	"Сыр Маскарпоне	VND"	412	5	41	5	false	true
9b3ae611-f40e-4375-826f-7ea2a4f826fe	Т. Абсент Грин Зомби/Фея (хаус)	300	0	0	1	false	false
82f403d1-edaf-4253-a627-c161236e047c	Т. АБСЕНТ ФРУКО ШУЛЬЦ	300	0	0	1	false	false
24f81800-1476-439c-a2f6-95a5753a684c	Т. Апероль (аперитив)	155	0	0	25	false	false
829087e9-c9c3-4e7f-8186-a32a2266d8b7	Т. Болла Соаве Классико вино белое	100	0	0	4	false	false
4f1ebfef-7094-4c1c-b4f1-330b987a9b17	Т. Бренди Куронье Наполеон	235	0	0	0	false	false
0065ba48-242e-4d96-b297-20f7f737c992	Т. Брусника с/м	43	0.7	0.5	8	false	false
ec4f2260-c79f-40f1-bb0a-36a87af0932c	Т. Варенье из шишек	280	0	0	70	false	false
20ee9f00-b285-42a2-8fa1-88fe28a7af24	"Т. Вино ""Вуврэ. Амбруази"" бел п/сл"	100	0	0	4	false	false
3f91d7cf-ef7a-4d0a-988f-80886bcd7f4a	Т. Вино белое «Пэй д’Ок. Домен Прень ле Вьё. Совиньон	77	0	0	0.3	false	false
09a0069c-fadf-4898-8490-2e6d3eac1838	Т. Вино белое Герфорд. Торронтес	77	0	0	0.3	false	false
e677f297-3957-43ac-ba04-351aa7e49ebe	Т. Вино белое Локо Чимбали Ркацители	77	0	0	0.3	false	false
09f70af1-accc-456a-a56a-b2cfa6e4103c	"Т. Вино белое РКАЦИТЕЛИ ОРАНЖ"" ТЗ ""ЕССЕ"""	77	0	0	0.3	false	false
508c70ad-4797-4df9-9210-0ff289e1242c	Т. Вино белое Утиель-Рекена	77	0	0	0.3	false	false
adf29550-5001-4ed5-b847-8b99d432be04	Т. Вино белое Утиель-Рекена Велата Виура - Совиньон Блан	77	0	0	0.3	false	false
1127bbe7-69e8-4e7d-8682-5e86eb1cfac1	"Т. Вино белое Утиель-Рекена. ""Эль Пескаито"" Бобаль"	77	0	0	0.3	false	false
76e335a3-fadd-461c-8961-14544a5e77af	Т. Вино белое Шабли. Вентура	77	0	0	0.3	false	false
aee87d7b-38f0-45ed-ad10-2446d3513287	Т. Вино игристое Альфабето Брют	75	0	0	1	false	false
bb8fd881-4278-411e-bc56-02398dc6f7d7	Т. Вино игристое Альфабето Дольче п/сл	95	0	0	5	false	false
c6a1486b-5351-4a40-b303-f9c18f41dbb7	Т. Вино игристое Шато Пино. Петнат. Совиньон Блан	75	0	0	1	false	false
7872f31e-6d59-43cc-9714-ff2ec0cb89f7	Т. Вино красное Дон Давид. Мальбек	77	0	0	0.3	false	false
b728bd63-842e-47e1-b5cb-d2879c213aa4	Т. Вино красное Каберне фран	77	0	0	0.3	false	false
0d885e9b-b72a-4d7b-a256-1504e55fbbee	"Т. Вино красное Кубань ""Высокий берег. Сира"""	77	0	0	0.3	false	false
3346cb32-d3db-4de9-b2a1-d74dffb3ba12	Т. Вино красное Пэй д’Ок. Домен Прень ле Вьё. Каберне-Совиньон. Традисьон						
101920da-60ba-4416-8aee-f96034b8d104	Т. Вино красное Риоха. Куне. Крианса	77	0	0	0.3	false	false
61c28f8a-9755-4eae-b214-df9051aa472c	"Т. Вино красное Утиель-Рекена. ""Эль Пескаито"" Бобаль / Каберне-Совиньон"	77	0	0	0.3	false	false
905ace6d-e9f0-43a9-be7d-8df3ac0e5769	Т. Вино розовое (хаус)	77	0	0	0.3	false	false	77	0	0	0.3	false	false
035bbcea-4973-4d34-8a70-c8fa5df98744	Т. Вино Ханс Баер Пино Нуар Б/А	22	0	0	5	false	false
86dee592-3ed5-4e84-9355-50059ac82b62	Т. Виски (Хаус)	235	0	0	0	false	false
7303efdd-a567-4552-9f1b-aa826633d39d	Т. Виски Баллантайнс Файнест	235	0	0	0	false	false
8512c126-ad94-4b09-9396-9256afa83868	Т. Виски ЛАФРОЙГ 10 ЛЕТ	235	0	0	0	false	false
760f82d5-c406-4f17-aa8a-7d6f6ec2c7eb	Т. Виски Чивас Ригал 12 лет	235	0	0	0	false	false
954d3398-195b-4f0f-892e-d0774a373b33	Т. Вода Аква Русса 0,2 л	0	0	0	0	false	false
f8fe6862-4e59-45f2-b124-00da35a009f2	Т. Вода Даусуз 275 мл	0	0	0	0	false	false
1f575f28-c27b-4648-80a8-6c4bd4634a30	Т. Водка Арктика	235	0	0	0	false	false
755f8ab9-453b-4080-bef5-dd3a74f05d67	Т. Водка Граф Ледофф/Пузырек (хаус)	235	0	0	0	false	false
dc0684ef-ee1e-46ce-b318-5f88721c9dc4	Т. Водка Онегин	235	0	0	0	false	false
e23401ed-0a6f-4529-b906-06d5a38098db	Т. Водка Тундра (морошка, брусника, можжевельник, аутентика)	235	0	0	0	false	false
7b6a10de-9940-4f0d-b7b0-2e39ded7fffe	Т. Водка Царская оригинальная	235	0	0	0	false	false
8356a10a-9f25-4063-984a-c6d9ef3a2ff8	Т. Вороника	43	0.7	0.5	8	false	false
b7c63220-dc9f-4a4b-b071-22e66241042f	Т. Высокий берег красное	77	0	0	0.3	false	false
05437bad-3fd9-4877-b4ba-39d34ab9a057	Т. Гато Негро Ред красное	77	0	0	0.3	false	false
e9d3b813-ea73-4000-ae01-cd3fae5fd920	Т. Гато Негро Уайт полусладкое вино белое	100	0	0	4	false	false
4a3b85fe-98be-42a6-aede-fecef846777b	Т. Груша дичка копчёная	260	2	0.5	62	false	false
dcbbd377-56c0-4d76-ae46-9e37253015c2	Т. Джин (Хаус)	235	0	0	0	false	false
c1d6a6cb-45dd-435e-b5f8-ab5911fd21a2	Т. Джин Бифитер Лондон Драй	235	0	0	0	false	false
b9244d5e-213f-4add-8087-a22d3fc684cb	Т. Дос Капричос Тинто красное	77	0	0	0.3	false	false
695d538b-4a71-4862-9dd0-ea23576a801d	Т. Дюк де Пари вино игристое п/сл	95	0	0	5	false	false
2119d4f8-4ea5-4294-96bf-131189614881	Т. Игристое брют (Хаус)	75	0	0	1	false	false
13df4072-4dec-4968-a695-fc325134b104	Т. Икра морского ежа	104	13.8	4.3	2.5	false	false
623101ac-d67a-4a26-9efb-69b94f9c7cb3	Т. Кава Бах Экстрисимо Брют вино игристое	75	0	0	1	false	false
d3c94268-4bce-4ea1-b940-bad8784f99d3	Т. Кава белая брют Бах/Мирамэ	75	0	0	1	false	false
19c4ccc7-2f96-4d85-9bb2-8a045cff1426	Т. Кава Мирамэ Розе вино игристое брют	75	0	0	1	false	false
4fa15eb8-9446-4053-9920-bdc57b9c8692	Т. Казаль Мендеш. Розе игристое розовое	75	0	0	1	false	false
9b17b95e-5b78-417d-9c68-4e6bc8878830	Т. Какао порошок	374	24	17	30	false	false
8a4f1949-de6b-4463-8454-0791b78db3ad	Т. Кальвадос де Пэй д'Ож Дарон Файн	235	0	0	0	false	false
7cafeebe-d720-46e9-b5ca-ea33ce7ea246	Т. Клубника с/м	35	0.8	0.4	7.5	false	false
bfce3764-2dee-44dd-9502-15648859b883	Т. Клубника сублимированная	350	2.5	1.5	80	false	false				
47b8160e-8ebf-4072-8734-9f7fa877617f	Т. Клюква с/м	40	0.5	0.3	8	false	false
74f5a603-3566-4a2a-9baf-a0083d1c7d89	Т. Кока-Кола 0,5 л /Добрый	42	0	0	10.5	false	false
d670f60c-b889-4ec1-b248-25be95387e27	Т. Кока-Кола/ Добрый (л)	42	0	0	10.5	false	false
4eea638e-7154-4dcc-95f5-faaedf95d159	Т. Коньяк Арарат 5 зв.	235	0	0	0	false	false
19c74c0f-014c-407f-ae8c-688ccf13b640	Т. Коньяк Арарат Априкот со вкусом абрикоса	235	0	0	0	false	false
74f51ed7-6e38-4b4c-a285-ed9d7eca1b6e	Т. Коньяк Шато де Монтифо ВС 5 лет	235	0	0	0	false	false
157db493-c0f7-42c9-a378-490526f3fedf	Т. Коньяк Шато де Монтифо ВСОП	235	0	0	0	false	false
baee21a4-345b-4fa8-95e5-d3ed0b4e42fc	Т. Кордиал Клавис/ основа/ концентрат	275	0	0	65	false	false
016e1d34-2405-4619-87f6-2243fddfcd10	Т. Крудо Неро д'Авола Каберне-Совиньон красное	77	0	0	0.3	false	false
2c230fe2-d2a6-4648-9c1f-78be0e0bed58	Т. Кьянти Джеографико красное	77	0	0	0.3	false	false
bca34d3b-02d5-46df-b2d2-e90d30d5bec0	Т. Ликер в ассортименте (Фруко Шульц, Ламоника,Гамбини)	300	0	0	37	false	false
95150211-4f71-4240-9a89-4d9494828412	Т. Ликер крепкий Трипл Сек	300	0	0	37	false	false
74c67b7a-bf07-40d2-987c-3d493cdef3c3	Т. Ликер Царский/ Фруко Шульц сливочный крем	320	3	15	20	false	true
31306767-dc84-4732-8471-3b7dc53bc396	Т. Липа сушеная	0	0	0	0	false	false
6de5da17-b534-4dfe-a72b-b08cc39fc3c6	Т. Малина с/м	40	0.5	0.3	8	false	false
2d6eb035-13bb-4997-84c1-cfe99dbf9b56	Т. Мальборо Ароха Бэй Совиньон Блан вино белое	77	0	0	0.3	false	false
407bc4b1-76e4-4c22-999f-40d93fb91a5f	Т. Маракуйя с/м	40	0.5	0.3	8	false	false
1716f6a8-4acd-48d7-857d-357d6b3f2bd4	Т. Мартини Экстра Драй вермут	135	0	0	9	false	false						
a8f68c30-e57d-4db0-be95-5c3ad1f0d0a6	Т. Маршмеллоу	320	1.8	0	80	false	false
e8178bc8-5712-448b-b983-a38cf611c3fc	Т. Матча голубая/зелен/розовая	300	25	5	40	false	false
a5053b82-c55c-4f56-84dd-08ac71549c72	Т. Молоко альтернативное (банан, кокос, миндаль)						
e91cc244-23d6-49b0-a14f-b8f80b2afd72	Т. Морошка с/м	40	0.5	0.3	8	false	false
a8758742-f613-4f70-a674-92147efbb6d0	Т. Мукузани красное	77	0	0	0.3	false	false
8f602b12-a2b2-41f7-91dd-c1d9a9c586f1	Т. Облепиха с/м						
9677860d-529a-4f7d-ad4a-facdcbfa4d52	Т. Перец черный (молотый, горошек, смесь)						
cfc7ba6f-3df2-4341-b252-560ca4bbb45e	"Т. Пивной напиток ""Бакунин сладкий стаут"""	75	0.8	0	8.5	true	true
490f00ab-93fb-4678-8d82-b40147e6455d	Т. Пиво Hoppy Lager/ Хоппи Лагер	55	0.5	0	5	true	false
c18cad28-b844-4ed9-90a3-3295149d8b64	Т. Пиво IPA (бут.) светлое безалкогольное	25	0	0	5	false	false						
ea392667-fff1-4667-8b97-6761e755a8bd	Т. Пиво Бланш Бир разливное	55	0.5	0	5	true	false
018890da-300b-47bf-b18d-d413d72561df	Т. Пиво Милк Оф Амнезия - В.Тропик 0,5 л	75	0.8	0	8.5	true	true
22fa4134-4f62-4475-88c2-75bfd2e62bd6	Т. Пиво светлое Боулер ИПА	55	0.5	0	5	true	false
0241c579-bc22-4e34-8bd2-b5e0636e98ac	Т. Пиво светлое нефильтрованное Хибинское	55	0.5	0	5	true	false
fc4d68cd-2d76-49a1-aff1-234974f69679	Т. Пиво Фрайдей Авеню Американ Пейл Эль/ Андерграунд Эль	55	0.5	0	5	true	false
af88ab54-dc5c-4a61-adb7-f728ad66980c	Т. Пиво ХАЙДЕГГЕР ХЕЛЬ	55	0.5	0	5	true	false
8c19d50b-55cc-46e9-807d-ea99e25658d8	Т. Пижма	0	0	0	0	false	false
e94d1478-fb8a-4c94-b18e-a3174df6b073	Т. Портвейн Рубин/ Калем Файн Руби	135	0	0	9	false	false
471e2e41-336f-4c1b-b4b4-0f3f0ed8d7d6	Т. Просекко Фонте брют игристое	75	0	0	1	false	false
c3fbed91-b0c9-4166-8659-b769802dba31	Т. Пюре красный апельсин	80	0.5	0.2	18	false	false
d26f9fc3-9903-48a7-be15-a38e62531789	Т. Пюре личи	80	0.5	0.2	18	false	false
fd15ab3e-6894-473d-9964-99079608fe9e	Т. Пюре малины с/м	80	0.5	0.2	18	false	false
bfd7ab16-b395-4a01-80b4-2483002d7e1b	Т. Пюре манго с/м	80	0.5	0.2	18	false	false
cfa2ac28-0c39-4fe9-9a83-0e10df78e509	Т. Ркацители Квеври вино белое	77	0	0	0.3	false	false
510ba547-c9a1-43aa-955b-01c2b6bf5476	Т. Розе д’Анжу. Шато де Мони розовое						
8c4320d0-6c98-4b41-82fe-70a0a25ef2aa	Т. Ром белый/темный (Хаус)	235	0	0	0	false	false
5bdc9869-0160-41d5-b7c4-c46bd416b418	Т. Ром Гавана Клуб Аньехо 3 года	235	0	0	0	false	false
6d74f4f0-8d98-4fc8-9ee9-facddb613a97	Т. Ром Контрабандо 5 лет	235	0	0	0	false	false
34a632a5-6fe1-4b83-a222-ee1fc719b464	Т. Саперави Мускат красное	77	0	0	0.3	false	false
b5d9fc1e-f5e6-4a0e-8478-b39a931e209a	Т. Сидр Честер (вишня, груша)	55	0	0	8	false	false
b216e112-e299-4857-8a6b-d51a7174ca4d	Т. Сироп/Топпинг в ассортименте	275	0	0	65	false	false
81d95093-50bb-40b7-91ce-a1503df6613e	Т. Сливки-крем Шантипак	300	0.8	26	13	false	true
9ee61dd7-23aa-4328-ac4a-60fb0aa2934b	Т. Сок (л) в ассортименте	42	0	0	10.5	false	false						
7ad60c91-6b75-4c53-b407-4e28cc327177	Т. Таежный сбор						
1722600f-6517-4716-baa7-4cd00f6148f8	Т. Текила (Хаус)	235	0	0	0	false	false
f1b75652-bcda-46b1-a2f8-cb0a30a159cf	Т. Текила ОЛЬМЕКА СИЛЬВЕР	235	0	0	0	false	false
4aced7a3-e418-4068-bf77-1dea46569272	Т. Текила Ранчо Алегро	235	0	0	0	false	false
4b3ee5ac-f6fd-4b58-8e13-11b1c1773c39	Т. Терре дель Ноче. Пино Гриджо вино белое	77	0	0	0.3	false	false
67c7252e-0587-410e-be7c-54adbe4c98fd	Т. Терре Сичилиане Крудо Катарратто Дзибиббо вино белое	77	0	0	0.3	false	false
bee94a96-d683-4d7f-9f69-62625772365a	Т. Тоник Индиан Рич 0.33 л	42	0	0	10.5	false	false
766dd067-40f7-4db9-aa51-d4737e37424b	Т. Урбан Рислинг Мозель вино белое	77	0	0	0.3	false	false
205cb1a9-1d95-49a5-a744-dd737e711dae	Т. Ханс Баер Рислинг Б/А вино белое	22	0	0	5	false	false
1acd3927-ae75-4a27-b108-f4e1301bb81c	Т. Ханс Баер Рислинг вино белое	77	0	0	0.3	false	false
a8c02f0d-d0cc-436a-8afb-398b7a01cb65	Т. Херес Кандела Крим	135	0	0	9	false	false
77cb8df3-c67e-4245-a0e3-c63aab6ce8a8	Т. Цинандали сухое вино белое	77	0	0	0.3	false	false
dc8a1316-d5ef-4f4c-b82a-f81526191ae9	Т. Чай Анчан	0	0	0	0	false	false
bcf84d5f-f393-4e9a-97b3-9c62134da98b	Т. Чай листовой в асс. (зел/черн)	0	0	0	0	false	false
e145f14d-ef5e-441a-b77e-065898800b41	Т. Черная смородина с/м	40	0.5	0.3	8	false	false
39a9a4b6-271d-45dc-89a6-666c9ca96e4f	Т. Черника с/м	40	0.5	0.3	8	false	false
74d384af-2d3c-4db5-8ecb-0239d4d8d7d0	Т. Чипсы креветочные	520	2	30	60	true	false
be8d5160-1d89-4e0c-a162-e572489a6e61	Т. Шампань А. Бартель. Брют	75	0	0	1	false	false
f99889c5-7884-4f69-9f3f-8599ad478a54	Т. Ягодно-фруктовая основа (клюква, брусника, ягоды)						
09d8de78-0da6-40a4-9e64-3c904bbd5ce4	Трансглутаминаза мясной клей	350	40	0	50	false	false
ba0bf378-90cd-4c24-9067-f37b3268452d	Упаковка						
